Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","59.655063","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","60.236827","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","59.078147","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","58.782417","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","59.102387","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","58.65152","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","58.418814","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","57.652825","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","58.472143","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","58.384878","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","58.62728","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","58.166717","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","58.220045","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","58.249133","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","58.826049","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","59.160564","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","58.830897","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","58.462447","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","58.263677","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","57.720697","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","58.118236","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","57.982491","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","58.796961","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","59.276916","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","60.40166","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","60.338636","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","58.598192","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","59.606583","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","58.394574","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","59.14602","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","60.396812","X","Figure from external organization","base year is 2015"
