Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2010","2010","","0.97","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2010","2010","","0.03","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2011","2011","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2011","2011","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2012","2012","","0.95","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2012","2012","","0.05","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01341","Apples","2013","2013","","0.96","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01341","Apples","2013","2013","","0.04","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2010","2010","","0.12","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2010","2010","","0.88","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2011","2011","","0.06","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2011","2011","","0.94","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2012","2012","","0.18","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2012","2012","","0.82","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","501","Import dependency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2013","2013","","0.24","E","Estimated value",""
"TCLI","Crops and livestock products indicators","275","Palestine","502","Self-sufficiency ratio","01253.02","Onions and shallots, dry (excluding dehydrated)","2013","2013","","0.76","E","Estimated value",""
