Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1991","1991","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1991","1991","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1992","1992","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1993","1993","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","9146","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1994","1994","kg/ha","519.4","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1994","1994","t","4750","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","8901","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1995","1995","kg/ha","1332.2","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1995","1995","t","11858","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","8753","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1996","1996","kg/ha","962.9","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1996","1996","t","8428","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","8101","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1997","1997","kg/ha","803.4","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1997","1997","t","6508","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","6908","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1998","1998","kg/ha","736.4","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1998","1998","t","5087","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","5026","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","1999","1999","kg/ha","682.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","1999","1999","t","3429","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","6594","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2000","2000","kg/ha","665.9","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2000","2000","t","4391","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","6567","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2001","2001","kg/ha","663.2","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2001","2001","t","4355","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","6306","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2002","2002","kg/ha","766.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2002","2002","t","4832","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","5820","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2003","2003","kg/ha","769.2","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2003","2003","t","4477","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","4682","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2004","2004","kg/ha","1277","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2004","2004","t","5979","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","4264","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2005","2005","kg/ha","1287.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2005","2005","t","5489","A","Official figure",""
