Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1970","1970","million SLC","177.351765","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1970","1970","million USD","177.351765","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1970","1970","USD","158.877562","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1970","1970","million SLC","1017.269381","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1970","1970","USD","911.303469","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1970","1970","million USD","1017.269381","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1971","1971","million SLC","203.508476","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1971","1971","million USD","203.508476","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1971","1971","USD","179.442777","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1971","1971","million SLC","1158.612789","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1971","1971","USD","1021.602149","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1971","1971","million USD","1158.612789","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1971","1971","%","14.748492","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1971","1971","%","13.894393","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1971","1971","%","14.748492","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1971","1971","%","12.944065","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1971","1971","%","13.894393","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1971","1971","%","12.103397","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1972","1972","million SLC","295.349517","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1972","1972","million USD","295.349517","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1972","1972","USD","253.573314","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1972","1972","million SLC","1354.97578","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1972","1972","USD","1163.318978","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1972","1972","million USD","1354.97578","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1972","1972","%","45.128853","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1972","1972","%","16.948112","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1972","1972","%","45.128853","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1972","1972","%","41.311519","X","Figure from external organization",""
