Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2000,2000,Int$/cap,4521,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2001,2001,Int$/cap,3997,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2002,2002,Int$/cap,3409,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2003,2003,Int$/cap,3789,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2004,2004,Int$/cap,4503,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2005,2005,Int$/cap,4885,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2006,2006,Int$/cap,4714,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2007,2007,Int$/cap,4770,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2008,2008,Int$/cap,4985,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2009,2009,Int$/cap,5271,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2010,2010,Int$/cap,5432,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2011,2011,Int$/cap,5805,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2012,2012,Int$/cap,6009,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2013,2013,Int$/cap,6142,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2014,2014,Int$/cap,5990,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2015,2015,Int$/cap,6073,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2016,2016,Int$/cap,6464,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2017,2017,Int$/cap,6427,X,Figure from external organization,
FS,Suite of Food Security Indicators,275,Palestine,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",2018,2018,Int$/cap,6343,X,Figure from external organization,
